=== THUE-ACT-50 CHL HoloEv-Net-V3 (4-Ch) LS + Cosine Annealing ===
Model Params: 11.54 M
Model FLOPs: 2.26 G
Inference Latency: 3.05 ms
=================================================
Epoch 001/200 [LR: 0.000300] -> Loss: 3.2965 | Train Top-1: 18.19% | ★Test Top-1: 14.89% (Top-5: 49.08%)
Epoch 002/200 [LR: 0.000300] -> Loss: 2.4523 | Train Top-1: 40.99% | ★Test Top-1: 37.32% (Top-5: 73.53%)
Epoch 003/200 [LR: 0.000300] -> Loss: 2.0566 | Train Top-1: 53.10% | ★Test Top-1: 50.55% (Top-5: 84.93%)
Epoch 004/200 [LR: 0.000300] -> Loss: 1.8241 | Train Top-1: 62.73% | ★Test Top-1: 53.86% (Top-5: 88.60%)
Epoch 005/200 [LR: 0.000300] -> Loss: 1.6085 | Train Top-1: 70.16% | ★Test Top-1: 51.10% (Top-5: 81.43%)
Epoch 006/200 [LR: 0.000300] -> Loss: 1.4556 | Train Top-1: 76.30% | ★Test Top-1: 53.31% (Top-5: 86.03%)
Epoch 007/200 [LR: 0.000299] -> Loss: 1.3109 | Train Top-1: 82.71% | ★Test Top-1: 55.33% (Top-5: 83.64%)
Epoch 008/200 [LR: 0.000299] -> Loss: 1.1337 | Train Top-1: 88.51% | ★Test Top-1: 56.25% (Top-5: 83.09%)
Epoch 009/200 [LR: 0.000299] -> Loss: 1.0410 | Train Top-1: 93.64% | ★Test Top-1: 57.35% (Top-5: 84.74%)
Epoch 010/200 [LR: 0.000299] -> Loss: 0.9540 | Train Top-1: 96.40% | ★Test Top-1: 60.29% (Top-5: 88.97%)
Epoch 011/200 [LR: 0.000298] -> Loss: 0.9040 | Train Top-1: 97.69% | ★Test Top-1: 59.01% (Top-5: 83.27%)
Epoch 012/200 [LR: 0.000298] -> Loss: 0.8401 | Train Top-1: 99.61% | ★Test Top-1: 60.11% (Top-5: 84.01%)
Epoch 013/200 [LR: 0.000297] -> Loss: 0.8153 | Train Top-1: 99.66% | ★Test Top-1: 63.79% (Top-5: 87.50%)
Epoch 014/200 [LR: 0.000297] -> Loss: 0.7831 | Train Top-1: 99.94% | ★Test Top-1: 66.54% (Top-5: 88.42%)
Epoch 015/200 [LR: 0.000296] -> Loss: 0.7775 | Train Top-1: 100.00% | ★Test Top-1: 66.54% (Top-5: 85.29%)
Epoch 016/200 [LR: 0.000296] -> Loss: 0.7680 | Train Top-1: 100.00% | ★Test Top-1: 63.24% (Top-5: 86.76%)
Epoch 017/200 [LR: 0.000295] -> Loss: 0.7594 | Train Top-1: 100.00% | ★Test Top-1: 66.73% (Top-5: 87.68%)
Epoch 018/200 [LR: 0.000295] -> Loss: 0.7543 | Train Top-1: 100.00% | ★Test Top-1: 64.71% (Top-5: 86.40%)
Epoch 019/200 [LR: 0.000294] -> Loss: 0.7491 | Train Top-1: 100.00% | ★Test Top-1: 65.99% (Top-5: 88.42%)
Epoch 020/200 [LR: 0.000293] -> Loss: 0.7536 | Train Top-1: 100.00% | ★Test Top-1: 63.97% (Top-5: 87.32%)
Epoch 021/200 [LR: 0.000293] -> Loss: 0.7523 | Train Top-1: 100.00% | ★Test Top-1: 61.40% (Top-5: 86.95%)
Epoch 022/200 [LR: 0.000292] -> Loss: 0.7493 | Train Top-1: 100.00% | ★Test Top-1: 65.62% (Top-5: 86.03%)
