=== 3-Stage Cascaded Reset Optimization Pipeline ===
Epoch 001 [STAGE-1 (Global-Train) | LR: 0.000300] -> Loss: 3.4196 | Train: 13.80% | ★Test: 19.49% | [G-Gate: 1.000 / L-Gate: 0.000]
Epoch 002 [STAGE-1 (Global-Train) | LR: 0.000300] -> Loss: 2.4508 | Train: 39.02% | ★Test: 49.26% | [G-Gate: 1.000 / L-Gate: 0.000]
Epoch 003 [STAGE-1 (Global-Train) | LR: 0.000299] -> Loss: 1.9576 | Train: 57.94% | ★Test: 43.93% | [G-Gate: 1.000 / L-Gate: 0.000]
Epoch 004 [STAGE-1 (Global-Train) | LR: 0.000297] -> Loss: 1.6965 | Train: 65.54% | ★Test: 47.98% | [G-Gate: 1.000 / L-Gate: 0.000]
Epoch 005 [STAGE-1 (Global-Train) | LR: 0.000295] -> Loss: 1.4966 | Train: 74.44% | ★Test: 55.33% | [G-Gate: 1.000 / L-Gate: 0.000]
Epoch 006 [STAGE-1 (Global-Train) | LR: 0.000293] -> Loss: 1.3115 | Train: 81.70% | ★Test: 55.88% | [G-Gate: 1.000 / L-Gate: 0.000]
Epoch 007 [STAGE-1 (Global-Train) | LR: 0.000289] -> Loss: 1.1549 | Train: 87.50% | ★Test: 59.38% | [G-Gate: 1.000 / L-Gate: 0.000]
Epoch 008 [STAGE-1 (Global-Train) | LR: 0.000286] -> Loss: 1.0446 | Train: 93.07% | ★Test: 58.64% | [G-Gate: 1.000 / L-Gate: 0.000]
Epoch 009 [STAGE-1 (Global-Train) | LR: 0.000281] -> Loss: 0.9294 | Train: 96.96% | ★Test: 68.20% | [G-Gate: 1.000 / L-Gate: 0.000]
Epoch 010 [STAGE-1 (Global-Train) | LR: 0.000277] -> Loss: 0.8673 | Train: 98.76% | ★Test: 70.04% | [G-Gate: 1.000 / L-Gate: 0.000]
Epoch 011 [STAGE-1 (Global-Train) | LR: 0.000271] -> Loss: 0.8236 | Train: 99.55% | ★Test: 70.04% | [G-Gate: 1.000 / L-Gate: 0.000]
Epoch 012 [STAGE-1 (Global-Train) | LR: 0.000266] -> Loss: 0.8012 | Train: 99.66% | ★Test: 71.14% | [G-Gate: 1.000 / L-Gate: 0.000]
Epoch 013 [STAGE-1 (Global-Train) | LR: 0.000259] -> Loss: 0.7770 | Train: 99.94% | ★Test: 72.43% | [G-Gate: 1.000 / L-Gate: 0.000]
Epoch 014 [STAGE-1 (Global-Train) | LR: 0.000253] -> Loss: 0.7620 | Train: 99.94% | ★Test: 76.10% | [G-Gate: 1.000 / L-Gate: 0.000]
Epoch 015 [STAGE-1 (Global-Train) | LR: 0.000246] -> Loss: 0.7493 | Train: 100.00% | ★Test: 74.45% | [G-Gate: 1.000 / L-Gate: 0.000]
Epoch 016 [STAGE-1 (Global-Train) | LR: 0.000238] -> Loss: 0.7448 | Train: 100.00% | ★Test: 74.08% | [G-Gate: 1.000 / L-Gate: 0.000]
Epoch 017 [STAGE-1 (Global-Train) | LR: 0.000230] -> Loss: 0.7392 | Train: 100.00% | ★Test: 73.71% | [G-Gate: 1.000 / L-Gate: 0.000]
Epoch 018 [STAGE-1 (Global-Train) | LR: 0.000222] -> Loss: 0.7348 | Train: 100.00% | ★Test: 73.71% | [G-Gate: 1.000 / L-Gate: 0.000]
Epoch 019 [STAGE-1 (Global-Train) | LR: 0.000214] -> Loss: 0.7320 | Train: 100.00% | ★Test: 72.61% | [G-Gate: 1.000 / L-Gate: 0.000]
Epoch 020 [STAGE-1 (Global-Train) | LR: 0.000205] -> Loss: 0.7313 | Train: 100.00% | ★Test: 74.82% | [G-Gate: 1.000 / L-Gate: 0.000]
Epoch 021 [STAGE-1 (Global-Train) | LR: 0.000196] -> Loss: 0.7272 | Train: 100.00% | ★Test: 73.16% | [G-Gate: 1.000 / L-Gate: 0.000]
Epoch 022 [STAGE-1 (Global-Train) | LR: 0.000187] -> Loss: 0.7248 | Train: 100.00% | ★Test: 73.35% | [G-Gate: 1.000 / L-Gate: 0.000]
Epoch 023 [STAGE-1 (Global-Train) | LR: 0.000178] -> Loss: 0.7217 | Train: 100.00% | ★Test: 74.08% | [G-Gate: 1.000 / L-Gate: 0.000]
Epoch 024 [STAGE-1 (Global-Train) | LR: 0.000169] -> Loss: 0.7216 | Train: 100.00% | ★Test: 74.45% | [G-Gate: 1.000 / L-Gate: 0.000]
Epoch 025 [STAGE-1 (Global-Train) | LR: 0.000159] -> Loss: 0.7188 | Train: 100.00% | ★Test: 75.74% | [G-Gate: 1.000 / L-Gate: 0.000]
Epoch 026 [STAGE-1 (Global-Train) | LR: 0.000150] -> Loss: 0.7179 | Train: 100.00% | ★Test: 72.06% | [G-Gate: 1.000 / L-Gate: 0.000]
Epoch 027 [STAGE-1 (Global-Train) | LR: 0.000141] -> Loss: 0.7159 | Train: 100.00% | ★Test: 75.74% | [G-Gate: 1.000 / L-Gate: 0.000]
Epoch 028 [STAGE-1 (Global-Train) | LR: 0.000131] -> Loss: 0.7153 | Train: 100.00% | ★Test: 76.47% | [G-Gate: 1.000 / L-Gate: 0.000]
Epoch 029 [STAGE-1 (Global-Train) | LR: 0.000122] -> Loss: 0.7140 | Train: 100.00% | ★Test: 74.08% | [G-Gate: 1.000 / L-Gate: 0.000]
Epoch 030 [STAGE-1 (Global-Train) | LR: 0.000113] -> Loss: 0.7130 | Train: 100.00% | ★Test: 76.47% | [G-Gate: 1.000 / L-Gate: 0.000]
Epoch 031 [STAGE-1 (Global-Train) | LR: 0.000104] -> Loss: 0.7127 | Train: 100.00% | ★Test: 74.63% | [G-Gate: 1.000 / L-Gate: 0.000]
Epoch 032 [STAGE-1 (Global-Train) | LR: 0.000095] -> Loss: 0.7116 | Train: 100.00% | ★Test: 75.74% | [G-Gate: 1.000 / L-Gate: 0.000]
Epoch 033 [STAGE-1 (Global-Train) | LR: 0.000086] -> Loss: 0.7105 | Train: 100.00% | ★Test: 75.74% | [G-Gate: 1.000 / L-Gate: 0.000]
Epoch 034 [STAGE-1 (Global-Train) | LR: 0.000078] -> Loss: 0.7108 | Train: 100.00% | ★Test: 74.63% | [G-Gate: 1.000 / L-Gate: 0.000]
Epoch 035 [STAGE-1 (Global-Train) | LR: 0.000070] -> Loss: 0.7099 | Train: 100.00% | ★Test: 75.18% | [G-Gate: 1.000 / L-Gate: 0.000]
Epoch 036 [STAGE-1 (Global-Train) | LR: 0.000062] -> Loss: 0.7093 | Train: 100.00% | ★Test: 74.63% | [G-Gate: 1.000 / L-Gate: 0.000]
Epoch 037 [STAGE-1 (Global-Train) | LR: 0.000054] -> Loss: 0.7089 | Train: 100.00% | ★Test: 75.37% | [G-Gate: 1.000 / L-Gate: 0.000]
Epoch 038 [STAGE-1 (Global-Train) | LR: 0.000047] -> Loss: 0.7084 | Train: 100.00% | ★Test: 75.00% | [G-Gate: 1.000 / L-Gate: 0.000]
Epoch 039 [STAGE-1 (Global-Train) | LR: 0.000041] -> Loss: 0.7079 | Train: 100.00% | ★Test: 75.37% | [G-Gate: 1.000 / L-Gate: 0.000]
Epoch 040 [STAGE-1 (Global-Train) | LR: 0.000034] -> Loss: 0.7077 | Train: 100.00% | ★Test: 75.00% | [G-Gate: 1.000 / L-Gate: 0.000]
Epoch 041 [STAGE-1 (Global-Train) | LR: 0.000029] -> Loss: 0.7077 | Train: 100.00% | ★Test: 75.37% | [G-Gate: 1.000 / L-Gate: 0.000]
Epoch 042 [STAGE-1 (Global-Train) | LR: 0.000023] -> Loss: 0.7073 | Train: 100.00% | ★Test: 75.74% | [G-Gate: 1.000 / L-Gate: 0.000]
Epoch 043 [STAGE-1 (Global-Train) | LR: 0.000019] -> Loss: 0.7071 | Train: 100.00% | ★Test: 75.92% | [G-Gate: 1.000 / L-Gate: 0.000]
Epoch 044 [STAGE-1 (Global-Train) | LR: 0.000014] -> Loss: 0.7071 | Train: 100.00% | ★Test: 75.55% | [G-Gate: 1.000 / L-Gate: 0.000]
Epoch 045 [STAGE-1 (Global-Train) | LR: 0.000011] -> Loss: 0.7071 | Train: 100.00% | ★Test: 75.55% | [G-Gate: 1.000 / L-Gate: 0.000]
Epoch 046 [STAGE-1 (Global-Train) | LR: 0.000007] -> Loss: 0.7066 | Train: 100.00% | ★Test: 75.55% | [G-Gate: 1.000 / L-Gate: 0.000]
Epoch 047 [STAGE-1 (Global-Train) | LR: 0.000005] -> Loss: 0.7068 | Train: 100.00% | ★Test: 75.18% | [G-Gate: 1.000 / L-Gate: 0.000]
Epoch 048 [STAGE-1 (Global-Train) | LR: 0.000003] -> Loss: 0.7067 | Train: 100.00% | ★Test: 75.18% | [G-Gate: 1.000 / L-Gate: 0.000]
Epoch 049 [STAGE-1 (Global-Train) | LR: 0.000001] -> Loss: 0.7066 | Train: 100.00% | ★Test: 75.37% | [G-Gate: 1.000 / L-Gate: 0.000]
Epoch 050 [STAGE-1 (Global-Train) | LR: 0.000000] -> Loss: 0.7067 | Train: 100.00% | ★Test: 75.37% | [G-Gate: 1.000 / L-Gate: 0.000]
Epoch 051 [STAGE-2 (Local-Train) | LR: 0.000300] -> Loss: 3.7133 | Train: 6.64% | ★Test: 6.99% | [G-Gate: 0.000 / L-Gate: 1.000]
Epoch 052 [STAGE-2 (Local-Train) | LR: 0.000300] -> Loss: 3.2639 | Train: 15.43% | ★Test: 18.01% | [G-Gate: 0.000 / L-Gate: 1.000]
Epoch 053 [STAGE-2 (Local-Train) | LR: 0.000299] -> Loss: 2.9464 | Train: 23.37% | ★Test: 13.60% | [G-Gate: 0.000 / L-Gate: 1.000]
Epoch 054 [STAGE-2 (Local-Train) | LR: 0.000297] -> Loss: 2.7040 | Train: 31.08% | ★Test: 29.41% | [G-Gate: 0.000 / L-Gate: 1.000]
Epoch 055 [STAGE-2 (Local-Train) | LR: 0.000295] -> Loss: 2.4971 | Train: 38.06% | ★Test: 26.47% | [G-Gate: 0.000 / L-Gate: 1.000]
Epoch 056 [STAGE-2 (Local-Train) | LR: 0.000293] -> Loss: 2.3339 | Train: 42.34% | ★Test: 21.69% | [G-Gate: 0.000 / L-Gate: 1.000]
Epoch 057 [STAGE-2 (Local-Train) | LR: 0.000289] -> Loss: 2.1536 | Train: 49.94% | ★Test: 27.57% | [G-Gate: 0.000 / L-Gate: 1.000]
Epoch 058 [STAGE-2 (Local-Train) | LR: 0.000286] -> Loss: 1.9412 | Train: 58.78% | ★Test: 34.01% | [G-Gate: 0.000 / L-Gate: 1.000]
Epoch 059 [STAGE-2 (Local-Train) | LR: 0.000281] -> Loss: 1.7547 | Train: 67.17% | ★Test: 39.89% | [G-Gate: 0.000 / L-Gate: 1.000]
Epoch 060 [STAGE-2 (Local-Train) | LR: 0.000277] -> Loss: 1.5284 | Train: 76.69% | ★Test: 29.04% | [G-Gate: 0.000 / L-Gate: 1.000]
Epoch 061 [STAGE-2 (Local-Train) | LR: 0.000271] -> Loss: 1.3410 | Train: 83.95% | ★Test: 34.56% | [G-Gate: 0.000 / L-Gate: 1.000]
Epoch 062 [STAGE-2 (Local-Train) | LR: 0.000266] -> Loss: 1.1633 | Train: 91.44% | ★Test: 37.87% | [G-Gate: 0.000 / L-Gate: 1.000]
Epoch 063 [STAGE-2 (Local-Train) | LR: 0.000259] -> Loss: 1.0144 | Train: 97.02% | ★Test: 37.50% | [G-Gate: 0.000 / L-Gate: 1.000]
Epoch 064 [STAGE-2 (Local-Train) | LR: 0.000253] -> Loss: 0.9429 | Train: 98.09% | ★Test: 40.07% | [G-Gate: 0.000 / L-Gate: 1.000]
Epoch 065 [STAGE-2 (Local-Train) | LR: 0.000246] -> Loss: 0.8854 | Train: 99.04% | ★Test: 41.73% | [G-Gate: 0.000 / L-Gate: 1.000]
Epoch 066 [STAGE-2 (Local-Train) | LR: 0.000238] -> Loss: 0.8554 | Train: 99.66% | ★Test: 40.99% | [G-Gate: 0.000 / L-Gate: 1.000]
Epoch 067 [STAGE-2 (Local-Train) | LR: 0.000230] -> Loss: 0.8320 | Train: 99.61% | ★Test: 40.62% | [G-Gate: 0.000 / L-Gate: 1.000]
Epoch 068 [STAGE-2 (Local-Train) | LR: 0.000222] -> Loss: 0.8280 | Train: 99.77% | ★Test: 40.07% | [G-Gate: 0.000 / L-Gate: 1.000]
Epoch 069 [STAGE-2 (Local-Train) | LR: 0.000214] -> Loss: 0.8135 | Train: 99.72% | ★Test: 40.99% | [G-Gate: 0.000 / L-Gate: 1.000]
Epoch 070 [STAGE-2 (Local-Train) | LR: 0.000205] -> Loss: 0.7883 | Train: 100.00% | ★Test: 45.59% | [G-Gate: 0.000 / L-Gate: 1.000]
Epoch 071 [STAGE-2 (Local-Train) | LR: 0.000196] -> Loss: 0.7835 | Train: 100.00% | ★Test: 44.67% | [G-Gate: 0.000 / L-Gate: 1.000]
Epoch 072 [STAGE-2 (Local-Train) | LR: 0.000187] -> Loss: 0.7706 | Train: 100.00% | ★Test: 44.30% | [G-Gate: 0.000 / L-Gate: 1.000]
Epoch 073 [STAGE-2 (Local-Train) | LR: 0.000178] -> Loss: 0.7717 | Train: 99.94% | ★Test: 43.20% | [G-Gate: 0.000 / L-Gate: 1.000]
Epoch 074 [STAGE-2 (Local-Train) | LR: 0.000169] -> Loss: 0.7659 | Train: 100.00% | ★Test: 44.30% | [G-Gate: 0.000 / L-Gate: 1.000]
Epoch 075 [STAGE-2 (Local-Train) | LR: 0.000159] -> Loss: 0.7577 | Train: 100.00% | ★Test: 44.30% | [G-Gate: 0.000 / L-Gate: 1.000]
Epoch 076 [STAGE-2 (Local-Train) | LR: 0.000150] -> Loss: 0.7539 | Train: 100.00% | ★Test: 42.10% | [G-Gate: 0.000 / L-Gate: 1.000]
Epoch 077 [STAGE-2 (Local-Train) | LR: 0.000141] -> Loss: 0.7492 | Train: 100.00% | ★Test: 46.32% | [G-Gate: 0.000 / L-Gate: 1.000]
Epoch 078 [STAGE-2 (Local-Train) | LR: 0.000131] -> Loss: 0.7465 | Train: 100.00% | ★Test: 43.93% | [G-Gate: 0.000 / L-Gate: 1.000]
Epoch 079 [STAGE-2 (Local-Train) | LR: 0.000122] -> Loss: 0.7428 | Train: 100.00% | ★Test: 45.59% | [G-Gate: 0.000 / L-Gate: 1.000]
Epoch 080 [STAGE-2 (Local-Train) | LR: 0.000113] -> Loss: 0.7417 | Train: 100.00% | ★Test: 44.12% | [G-Gate: 0.000 / L-Gate: 1.000]
Epoch 081 [STAGE-2 (Local-Train) | LR: 0.000104] -> Loss: 0.7392 | Train: 100.00% | ★Test: 46.32% | [G-Gate: 0.000 / L-Gate: 1.000]
Epoch 082 [STAGE-2 (Local-Train) | LR: 0.000095] -> Loss: 0.7372 | Train: 100.00% | ★Test: 46.51% | [G-Gate: 0.000 / L-Gate: 1.000]
Epoch 083 [STAGE-2 (Local-Train) | LR: 0.000086] -> Loss: 0.7359 | Train: 100.00% | ★Test: 47.61% | [G-Gate: 0.000 / L-Gate: 1.000]
Epoch 084 [STAGE-2 (Local-Train) | LR: 0.000078] -> Loss: 0.7331 | Train: 100.00% | ★Test: 46.51% | [G-Gate: 0.000 / L-Gate: 1.000]
