=== Class-Wise Adaptive Fusion Training Log ===
Epoch 001 [STAGE-1 (Global-Train) | G-LR: 0.000300 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 3.6115 | Train: 7.49% | ★Test: 17.10% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 002 [STAGE-1 (Global-Train) | G-LR: 0.000300 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 2.8123 | Train: 29.56% | ★Test: 31.43% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 003 [STAGE-1 (Global-Train) | G-LR: 0.000299 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 2.3177 | Train: 43.52% | ★Test: 43.75% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 004 [STAGE-1 (Global-Train) | G-LR: 0.000297 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 2.0337 | Train: 53.83% | ★Test: 54.04% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 005 [STAGE-1 (Global-Train) | G-LR: 0.000295 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 1.7856 | Train: 63.29% | ★Test: 55.88% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 006 [STAGE-1 (Global-Train) | G-LR: 0.000293 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 1.6350 | Train: 69.26% | ★Test: 57.17% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 007 [STAGE-1 (Global-Train) | G-LR: 0.000289 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 1.4564 | Train: 77.14% | ★Test: 63.05% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 008 [STAGE-1 (Global-Train) | G-LR: 0.000286 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 1.3235 | Train: 81.25% | ★Test: 58.82% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 009 [STAGE-1 (Global-Train) | G-LR: 0.000281 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 1.2142 | Train: 85.92% | ★Test: 59.74% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 010 [STAGE-1 (Global-Train) | G-LR: 0.000277 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 1.0950 | Train: 91.95% | ★Test: 65.62% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 011 [STAGE-1 (Global-Train) | G-LR: 0.000271 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 1.0027 | Train: 95.33% | ★Test: 69.30% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 012 [STAGE-1 (Global-Train) | G-LR: 0.000266 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.9599 | Train: 96.45% | ★Test: 65.44% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 013 [STAGE-1 (Global-Train) | G-LR: 0.000259 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.8717 | Train: 98.48% | ★Test: 66.36% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 014 [STAGE-1 (Global-Train) | G-LR: 0.000253 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.8070 | Train: 99.94% | ★Test: 73.71% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 015 [STAGE-1 (Global-Train) | G-LR: 0.000246 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7830 | Train: 100.00% | ★Test: 73.71% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 016 [STAGE-1 (Global-Train) | G-LR: 0.000238 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7798 | Train: 99.89% | ★Test: 72.98% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 017 [STAGE-1 (Global-Train) | G-LR: 0.000230 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7614 | Train: 100.00% | ★Test: 75.74% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 018 [STAGE-1 (Global-Train) | G-LR: 0.000222 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7510 | Train: 100.00% | ★Test: 76.84% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 019 [STAGE-1 (Global-Train) | G-LR: 0.000214 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7459 | Train: 100.00% | ★Test: 77.02% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 020 [STAGE-1 (Global-Train) | G-LR: 0.000205 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7391 | Train: 100.00% | ★Test: 72.79% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 021 [STAGE-1 (Global-Train) | G-LR: 0.000196 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7338 | Train: 100.00% | ★Test: 76.47% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 022 [STAGE-1 (Global-Train) | G-LR: 0.000187 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7302 | Train: 100.00% | ★Test: 75.37% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 023 [STAGE-1 (Global-Train) | G-LR: 0.000178 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7285 | Train: 100.00% | ★Test: 76.65% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 024 [STAGE-1 (Global-Train) | G-LR: 0.000169 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7233 | Train: 100.00% | ★Test: 77.39% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 025 [STAGE-1 (Global-Train) | G-LR: 0.000159 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7231 | Train: 100.00% | ★Test: 74.26% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 026 [STAGE-1 (Global-Train) | G-LR: 0.000150 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7211 | Train: 100.00% | ★Test: 77.21% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 027 [STAGE-1 (Global-Train) | G-LR: 0.000141 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7188 | Train: 100.00% | ★Test: 77.39% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 028 [STAGE-1 (Global-Train) | G-LR: 0.000131 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7172 | Train: 100.00% | ★Test: 77.57% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 029 [STAGE-1 (Global-Train) | G-LR: 0.000122 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7160 | Train: 100.00% | ★Test: 77.39% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 030 [STAGE-1 (Global-Train) | G-LR: 0.000113 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7150 | Train: 100.00% | ★Test: 75.18% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 031 [STAGE-1 (Global-Train) | G-LR: 0.000104 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7139 | Train: 100.00% | ★Test: 77.76% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 032 [STAGE-1 (Global-Train) | G-LR: 0.000095 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7127 | Train: 100.00% | ★Test: 76.84% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 033 [STAGE-1 (Global-Train) | G-LR: 0.000086 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7120 | Train: 100.00% | ★Test: 77.76% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
