=== 4-Stage Progressive Fusion Hard-Mining Training Log ===
Epoch 001 [STAGE-1 (Global-Train) | G-LR: 0.000300 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 3.6471 | Train: 6.98% | ★Test: 9.74% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 002 [STAGE-1 (Global-Train) | G-LR: 0.000300 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 3.0369 | Train: 20.78% | ★Test: 28.68% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 003 [STAGE-1 (Global-Train) | G-LR: 0.000299 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 2.4705 | Train: 38.51% | ★Test: 29.96% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 004 [STAGE-1 (Global-Train) | G-LR: 0.000297 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 2.1164 | Train: 50.45% | ★Test: 44.85% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 005 [STAGE-1 (Global-Train) | G-LR: 0.000295 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 1.8535 | Train: 60.87% | ★Test: 48.16% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 006 [STAGE-1 (Global-Train) | G-LR: 0.000293 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 1.6561 | Train: 69.03% | ★Test: 59.01% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 007 [STAGE-1 (Global-Train) | G-LR: 0.000289 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 1.4876 | Train: 76.24% | ★Test: 67.28% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 008 [STAGE-1 (Global-Train) | G-LR: 0.000286 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 1.3305 | Train: 82.94% | ★Test: 61.58% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 009 [STAGE-1 (Global-Train) | G-LR: 0.000281 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 1.2076 | Train: 87.22% | ★Test: 59.93% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 010 [STAGE-1 (Global-Train) | G-LR: 0.000277 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 1.1125 | Train: 90.77% | ★Test: 66.73% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 011 [STAGE-1 (Global-Train) | G-LR: 0.000271 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 1.0069 | Train: 94.99% | ★Test: 62.50% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 012 [STAGE-1 (Global-Train) | G-LR: 0.000266 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.9447 | Train: 96.79% | ★Test: 70.04% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 013 [STAGE-1 (Global-Train) | G-LR: 0.000259 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.8676 | Train: 98.82% | ★Test: 69.12% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 014 [STAGE-1 (Global-Train) | G-LR: 0.000253 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.8143 | Train: 99.77% | ★Test: 73.90% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 015 [STAGE-1 (Global-Train) | G-LR: 0.000246 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7906 | Train: 100.00% | ★Test: 73.71% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 016 [STAGE-1 (Global-Train) | G-LR: 0.000238 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7717 | Train: 100.00% | ★Test: 73.35% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 017 [STAGE-1 (Global-Train) | G-LR: 0.000230 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7604 | Train: 100.00% | ★Test: 73.35% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 018 [STAGE-1 (Global-Train) | G-LR: 0.000222 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7525 | Train: 100.00% | ★Test: 72.06% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 019 [STAGE-1 (Global-Train) | G-LR: 0.000214 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7459 | Train: 100.00% | ★Test: 75.74% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 020 [STAGE-1 (Global-Train) | G-LR: 0.000205 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7403 | Train: 100.00% | ★Test: 75.18% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 021 [STAGE-1 (Global-Train) | G-LR: 0.000196 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7578 | Train: 99.55% | ★Test: 69.30% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 022 [STAGE-1 (Global-Train) | G-LR: 0.000187 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7666 | Train: 99.61% | ★Test: 73.35% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 023 [STAGE-1 (Global-Train) | G-LR: 0.000178 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7420 | Train: 99.89% | ★Test: 75.18% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 024 [STAGE-1 (Global-Train) | G-LR: 0.000169 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7321 | Train: 100.00% | ★Test: 76.10% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 025 [STAGE-1 (Global-Train) | G-LR: 0.000159 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7263 | Train: 100.00% | ★Test: 74.63% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 026 [STAGE-1 (Global-Train) | G-LR: 0.000150 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7237 | Train: 100.00% | ★Test: 76.84% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 027 [STAGE-1 (Global-Train) | G-LR: 0.000141 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7214 | Train: 100.00% | ★Test: 75.37% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 028 [STAGE-1 (Global-Train) | G-LR: 0.000131 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7190 | Train: 100.00% | ★Test: 77.94% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 029 [STAGE-1 (Global-Train) | G-LR: 0.000122 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7165 | Train: 100.00% | ★Test: 75.74% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 030 [STAGE-1 (Global-Train) | G-LR: 0.000113 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7162 | Train: 100.00% | ★Test: 77.21% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
