=== Class-Wise Adaptive Fusion Training Log with SAM ===
Epoch 001 [STAGE-1 (Global-Train) | G-LR: 0.000300 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.8048 | Train: 98.76% | ★Test: 56.07% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 002 [STAGE-1 (Global-Train) | G-LR: 0.000300 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.8205 | Train: 97.97% | ★Test: 67.28% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 003 [STAGE-1 (Global-Train) | G-LR: 0.000299 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7720 | Train: 99.66% | ★Test: 67.10% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 004 [STAGE-1 (Global-Train) | G-LR: 0.000297 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7753 | Train: 99.38% | ★Test: 72.06% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 005 [STAGE-1 (Global-Train) | G-LR: 0.000295 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7645 | Train: 99.72% | ★Test: 69.12% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 006 [STAGE-1 (Global-Train) | G-LR: 0.000293 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7668 | Train: 99.61% | ★Test: 60.66% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 007 [STAGE-1 (Global-Train) | G-LR: 0.000289 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7497 | Train: 99.94% | ★Test: 70.59% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 008 [STAGE-1 (Global-Train) | G-LR: 0.000286 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7476 | Train: 99.94% | ★Test: 70.77% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 009 [STAGE-1 (Global-Train) | G-LR: 0.000281 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7511 | Train: 99.94% | ★Test: 72.06% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 010 [STAGE-1 (Global-Train) | G-LR: 0.000277 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7370 | Train: 99.83% | ★Test: 73.53% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 011 [STAGE-1 (Global-Train) | G-LR: 0.000271 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7318 | Train: 99.83% | ★Test: 75.18% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 012 [STAGE-1 (Global-Train) | G-LR: 0.000266 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7230 | Train: 100.00% | ★Test: 74.63% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 013 [STAGE-1 (Global-Train) | G-LR: 0.000259 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7225 | Train: 99.94% | ★Test: 73.71% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 014 [STAGE-1 (Global-Train) | G-LR: 0.000253 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7199 | Train: 99.94% | ★Test: 73.71% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 015 [STAGE-1 (Global-Train) | G-LR: 0.000246 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7173 | Train: 100.00% | ★Test: 75.00% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 016 [STAGE-1 (Global-Train) | G-LR: 0.000238 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7195 | Train: 99.83% | ★Test: 74.63% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 017 [STAGE-1 (Global-Train) | G-LR: 0.000230 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7123 | Train: 100.00% | ★Test: 75.18% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 018 [STAGE-1 (Global-Train) | G-LR: 0.000222 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7100 | Train: 100.00% | ★Test: 75.92% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 019 [STAGE-1 (Global-Train) | G-LR: 0.000214 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7094 | Train: 100.00% | ★Test: 74.63% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 020 [STAGE-1 (Global-Train) | G-LR: 0.000205 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7089 | Train: 100.00% | ★Test: 75.55% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 021 [STAGE-1 (Global-Train) | G-LR: 0.000196 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7082 | Train: 100.00% | ★Test: 74.08% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 022 [STAGE-1 (Global-Train) | G-LR: 0.000187 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7078 | Train: 100.00% | ★Test: 75.55% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 023 [STAGE-1 (Global-Train) | G-LR: 0.000178 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7078 | Train: 100.00% | ★Test: 78.12% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 024 [STAGE-1 (Global-Train) | G-LR: 0.000169 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7073 | Train: 100.00% | ★Test: 75.37% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 025 [STAGE-1 (Global-Train) | G-LR: 0.000159 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7069 | Train: 100.00% | ★Test: 76.10% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 026 [STAGE-1 (Global-Train) | G-LR: 0.000150 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7065 | Train: 100.00% | ★Test: 76.47% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 027 [STAGE-1 (Global-Train) | G-LR: 0.000141 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7063 | Train: 100.00% | ★Test: 76.29% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 028 [STAGE-1 (Global-Train) | G-LR: 0.000131 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7058 | Train: 100.00% | ★Test: 78.12% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 029 [STAGE-1 (Global-Train) | G-LR: 0.000122 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7059 | Train: 100.00% | ★Test: 77.76% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 030 [STAGE-1 (Global-Train) | G-LR: 0.000113 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7057 | Train: 100.00% | ★Test: 77.76% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 031 [STAGE-1 (Global-Train) | G-LR: 0.000104 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7054 | Train: 100.00% | ★Test: 79.04% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 032 [STAGE-1 (Global-Train) | G-LR: 0.000095 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7053 | Train: 100.00% | ★Test: 76.84% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 033 [STAGE-1 (Global-Train) | G-LR: 0.000086 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7050 | Train: 100.00% | ★Test: 77.57% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 034 [STAGE-1 (Global-Train) | G-LR: 0.000078 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7049 | Train: 100.00% | ★Test: 78.49% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 035 [STAGE-1 (Global-Train) | G-LR: 0.000070 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7047 | Train: 100.00% | ★Test: 77.94% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 036 [STAGE-1 (Global-Train) | G-LR: 0.000062 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7047 | Train: 100.00% | ★Test: 77.39% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 037 [STAGE-1 (Global-Train) | G-LR: 0.000054 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7046 | Train: 100.00% | ★Test: 79.04% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 038 [STAGE-1 (Global-Train) | G-LR: 0.000047 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7046 | Train: 100.00% | ★Test: 78.49% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 039 [STAGE-1 (Global-Train) | G-LR: 0.000041 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7043 | Train: 100.00% | ★Test: 76.47% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
