=== Class-Wise Adaptive Fusion Training Log (3-Stage) ===
Epoch 001 [STAGE-1 (Global-Train) | G-LR: 0.000300 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 3.5565 | Train: 9.46% | ★Test: 17.10% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 002 [STAGE-1 (Global-Train) | G-LR: 0.000300 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 2.8047 | Train: 29.90% | ★Test: 23.16% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 003 [STAGE-1 (Global-Train) | G-LR: 0.000299 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 2.2981 | Train: 45.61% | ★Test: 44.49% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 004 [STAGE-1 (Global-Train) | G-LR: 0.000297 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 2.0366 | Train: 53.43% | ★Test: 42.65% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 005 [STAGE-1 (Global-Train) | G-LR: 0.000295 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 1.7969 | Train: 62.39% | ★Test: 54.60% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 006 [STAGE-1 (Global-Train) | G-LR: 0.000293 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 1.6134 | Train: 71.06% | ★Test: 56.80% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 007 [STAGE-1 (Global-Train) | G-LR: 0.000289 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 1.4481 | Train: 76.97% | ★Test: 49.63% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 008 [STAGE-1 (Global-Train) | G-LR: 0.000286 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 1.3258 | Train: 82.38% | ★Test: 59.74% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 009 [STAGE-1 (Global-Train) | G-LR: 0.000281 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 1.1912 | Train: 87.84% | ★Test: 61.40% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 010 [STAGE-1 (Global-Train) | G-LR: 0.000277 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 1.0793 | Train: 91.78% | ★Test: 61.76% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 011 [STAGE-1 (Global-Train) | G-LR: 0.000271 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 1.0065 | Train: 94.31% | ★Test: 71.14% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 012 [STAGE-1 (Global-Train) | G-LR: 0.000266 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.9360 | Train: 97.07% | ★Test: 68.57% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
