=== Class-Wise Adaptive Fusion Training Log (3-Stage with ASAM) ===
Epoch 001 [STAGE-1 (Global-Train) | G-LR: 0.000300 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 3.5858 | Train: 8.39% | ★Test: 16.73% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 002 [STAGE-1 (Global-Train) | G-LR: 0.000300 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 2.7455 | Train: 31.02% | ★Test: 39.89% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 003 [STAGE-1 (Global-Train) | G-LR: 0.000299 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 2.2504 | Train: 46.68% | ★Test: 50.18% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 004 [STAGE-1 (Global-Train) | G-LR: 0.000297 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 1.9632 | Train: 56.93% | ★Test: 52.57% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 005 [STAGE-1 (Global-Train) | G-LR: 0.000295 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 1.7521 | Train: 64.58% | ★Test: 50.18% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 006 [STAGE-1 (Global-Train) | G-LR: 0.000293 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 1.5885 | Train: 71.06% | ★Test: 57.35% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 007 [STAGE-1 (Global-Train) | G-LR: 0.000289 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 1.4345 | Train: 78.21% | ★Test: 64.71% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 008 [STAGE-1 (Global-Train) | G-LR: 0.000286 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 1.3136 | Train: 83.33% | ★Test: 70.77% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 009 [STAGE-1 (Global-Train) | G-LR: 0.000281 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 1.1939 | Train: 88.57% | ★Test: 64.52% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 010 [STAGE-1 (Global-Train) | G-LR: 0.000277 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 1.0960 | Train: 91.67% | ★Test: 67.46% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 011 [STAGE-1 (Global-Train) | G-LR: 0.000271 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.9787 | Train: 95.83% | ★Test: 69.85% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
